,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
14,20.0,4.0,11.6,4.0,3.0,203507 - 2406 - 203089 - 202390 - 203489,"Antetokounmpo,Giannis - Butler,Caron - Henson,John - Neal,Gary - Wolters,Nate",19.0,24.0
15,20.0,7.0,11.4,3.0,3.0,203507 - 101141 - 202390 - 2557 - 202327,"Antetokounmpo,Giannis - Ilyasova,Ersan - Neal,Gary - Ridnour,Luke - Udoh,Ekpe",15.0,25.0
16,19.0,5.0,11.0,0.0,2.0,202399 - 203089 - 201564 - 201196 - 202874,"Adrien,Jeff - Henson,John - Mayo,O.J. - Sessions,Ramon - Wright,Chris C.",18.0,30.0
17,155.2,43.2,87.2,31.2,30.4,202399 - 203507 - 203089 - 201564 - 201196,"Adrien,Jeff - Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Sessions,Ramon",22.5,23.1
18,18.0,11.0,10.9,1.0,1.0,2406 - 101141 - 202688 - 203114 - 202336,"Butler,Caron - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Sanders,Larry",32.0,32.0
19,17.0,2.0,10.7,1.0,3.0,2406 - 203089 - 202688 - 2557 - 202336,"Butler,Caron - Henson,John - Knight,Brandon - Ridnour,Luke - Sanders,Larry",17.0,28.0
20,19.0,8.0,10.3,1.0,2.0,203507 - 2406 - 202390 - 202336 - 203489,"Antetokounmpo,Giannis - Butler,Caron - Neal,Gary - Sanders,Larry - Wolters,Nate",29.0,32.0
21,48.0,23.1,29.7,9.9,11.1,202399 - 203507 - 203114 - 2585 - 201196,"Adrien,Jeff - Antetokounmpo,Giannis - Middleton,Khris - Pachulia,Zaza - Sessions,Ramon",26.0,21.3
22,35.0,3.0,19.6,4.0,7.0,2406 - 201564 - 203114 - 2585 - 203489,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",17.0,20.5
23,222.6,36.4,137.2,29.4,43.4,203089 - 202688 - 201564 - 203114 - 202327,"Henson,John - Knight,Brandon - Mayo,O.J. - Middleton,Khris - Udoh,Ekpe",21.6,17.2
24,34.0,6.0,19.4,2.0,4.0,2406 - 203089 - 202390 - 2557 - 202327,"Butler,Caron - Henson,John - Neal,Gary - Ridnour,Luke - Udoh,Ekpe",21.5,16.0
25,17.0,2.0,9.6,2.0,3.0,2406 - 202688 - 203114 - 203545 - 2557,"Butler,Caron - Knight,Brandon - Middleton,Khris - Raduljica,Miroslav - Ridnour,Luke",16.0,23.0
26,35.0,4.0,18.6,2.0,3.0,2406 - 201564 - 203114 - 202327 - 203489,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Udoh,Ekpe - Wolters,Nate",20.0,22.0
27,19.0,1.0,9.3,0.0,1.0,2406 - 201564 - 2557 - 202336 - 203489,"Butler,Caron - Mayo,O.J. - Ridnour,Luke - Sanders,Larry - Wolters,Nate",23.0,17.0
28,48.0,14.1,26.1,5.1,3.9,203507 - 2406 - 202688 - 203114 - 203545,"Antetokounmpo,Giannis - Butler,Caron - Knight,Brandon - Middleton,Khris - Raduljica,Miroslav",18.0,22.0
29,65.0,19.0,43.0,10.0,19.0,2406 - 203089 - 201564 - 2585 - 203489,"Butler,Caron - Henson,John - Mayo,O.J. - Pachulia,Zaza - Wolters,Nate",20.4,15.4
30,29.0,7.0,17.0,2.0,5.0,203507 - 203089 - 101141 - 202688 - 202327,"Antetokounmpo,Giannis - Henson,John - Ilyasova,Ersan - Knight,Brandon - Udoh,Ekpe",21.5,15.5
31,28.0,8.0,17.0,4.0,5.0,203507 - 101141 - 202390 - 2585 - 2557,"Antetokounmpo,Giannis - Ilyasova,Ersan - Neal,Gary - Pachulia,Zaza - Ridnour,Luke",19.5,16.0
32,34.0,8.0,16.8,4.0,3.0,203507 - 203089 - 202688 - 203114 - 203545,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Middleton,Khris - Raduljica,Miroslav",18.0,19.0
33,29.0,3.0,16.8,3.0,6.0,203089 - 101141 - 203114 - 202390 - 203489,"Henson,John - Ilyasova,Ersan - Middleton,Khris - Neal,Gary - Wolters,Nate",15.0,15.5
34,14.0,1.0,8.1,2.0,1.0,203507 - 203089 - 201564 - 201196 - 202327,"Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Sessions,Ramon - Udoh,Ekpe",17.0,22.0
35,16.0,10.0,8.1,2.0,1.0,203507 - 202688 - 203114 - 2585 - 202336,"Antetokounmpo,Giannis - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Sanders,Larry",16.0,19.0
36,23.0,16.0,16.0,3.0,3.0,203507 - 203089 - 203114 - 2585 - 203489,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",16.5,20.5
37,11.0,9.0,7.9,3.0,3.0,203507 - 101141 - 202390 - 202327 - 203489,"Antetokounmpo,Giannis - Ilyasova,Ersan - Neal,Gary - Udoh,Ekpe - Wolters,Nate",11.0,17.0
38,12.0,4.0,7.3,1.0,1.0,203507 - 2406 - 202390 - 202327 - 203489,"Antetokounmpo,Giannis - Butler,Caron - Neal,Gary - Udoh,Ekpe - Wolters,Nate",10.0,18.0
39,25.0,5.0,14.4,4.0,5.0,2406 - 101141 - 201564 - 202390 - 2585,"Butler,Caron - Ilyasova,Ersan - Mayo,O.J. - Neal,Gary - Pachulia,Zaza",13.0,16.0
40,127.6,41.8,78.1,22.0,22.0,203507 - 203089 - 101141 - 202688 - 203114,"Antetokounmpo,Giannis - Henson,John - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris",16.1,13.7
41,12.0,5.0,7.1,2.0,2.0,2406 - 203089 - 101141 - 203114 - 203489,"Butler,Caron - Henson,John - Ilyasova,Ersan - Middleton,Khris - Wolters,Nate",16.0,14.0
42,20.0,8.0,14.2,3.0,7.0,203089 - 203114 - 202390 - 202327 - 203489,"Henson,John - Middleton,Khris - Neal,Gary - Udoh,Ekpe - Wolters,Nate",12.5,12.5
43,14.0,3.0,7.0,4.0,2.0,203507 - 203089 - 201196 - 203474 - 202327,"Antetokounmpo,Giannis - Henson,John - Sessions,Ramon - Stephens,DJ - Udoh,Ekpe",12.0,11.0
44,14.0,2.0,7.0,1.0,0.0,2406 - 101141 - 203114 - 2585 - 203489,"Butler,Caron - Ilyasova,Ersan - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",19.0,9.0
45,102.6,18.0,63.0,9.9,29.7,101141 - 202688 - 201564 - 203114 - 2585,"Ilyasova,Ersan - Knight,Brandon - Mayo,O.J. - Middleton,Khris - Pachulia,Zaza",14.3,12.7
46,24.0,2.0,14.0,7.0,8.0,201564 - 203114 - 203545 - 2557 - 202327,"Mayo,O.J. - Middleton,Khris - Raduljica,Miroslav - Ridnour,Luke - Udoh,Ekpe",7.5,13.0
47,11.0,6.0,6.9,1.0,2.0,203507 - 2406 - 202688 - 2585 - 2557,"Antetokounmpo,Giannis - Butler,Caron - Knight,Brandon - Pachulia,Zaza - Ridnour,Luke",8.0,17.0
48,21.0,12.0,13.8,4.0,3.0,203507 - 2406 - 202390 - 203545 - 203489,"Antetokounmpo,Giannis - Butler,Caron - Neal,Gary - Raduljica,Miroslav - Wolters,Nate",15.0,12.5
49,12.0,0.0,6.9,4.0,3.0,203507 - 203089 - 101141 - 202688 - 202336,"Antetokounmpo,Giannis - Henson,John - Ilyasova,Ersan - Knight,Brandon - Sanders,Larry",12.0,9.0
50,12.0,6.0,6.8,3.0,1.0,203507 - 203089 - 202688 - 201564 - 202336,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Mayo,O.J. - Sanders,Larry",12.0,14.0
51,11.0,0.0,6.8,1.0,1.0,203507 - 203089 - 2557 - 202327 - 203489,"Antetokounmpo,Giannis - Henson,John - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",9.0,10.0
52,14.0,6.0,6.6,2.0,0.0,202399 - 203507 - 201196 - 202327 - 202874,"Adrien,Jeff - Antetokounmpo,Giannis - Sessions,Ramon - Udoh,Ekpe - Wright,Chris C.",18.0,15.0
53,10.0,2.0,6.6,0.0,2.0,203507 - 203089 - 203545 - 2557 - 203489,"Antetokounmpo,Giannis - Henson,John - Raduljica,Miroslav - Ridnour,Luke - Wolters,Nate",9.0,17.0
54,8.0,10.0,6.6,1.0,0.0,2406 - 203089 - 203114 - 2585 - 203489,"Butler,Caron - Henson,John - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",8.0,19.0
55,10.0,0.0,6.5,0.0,2.0,2406 - 201564 - 203114 - 202390 - 202327,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Neal,Gary - Udoh,Ekpe",19.0,11.0
56,61.2,25.2,38.4,10.8,13.2,202399 - 203507 - 203089 - 201196 - 203489,"Adrien,Jeff - Antetokounmpo,Giannis - Henson,John - Sessions,Ramon - Wolters,Nate",14.3,13.0
57,11.0,2.0,6.4,3.0,2.0,203507 - 203089 - 203114 - 203545 - 202874,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Raduljica,Miroslav - Wright,Chris C.",16.0,10.0
58,24.0,2.0,12.8,2.0,4.0,203507 - 101141 - 202688 - 202390 - 202336,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Neal,Gary - Sanders,Larry",14.5,9.5
59,24.0,5.0,12.8,3.0,5.0,203089 - 201564 - 2557 - 202327 - 203489,"Henson,John - Mayo,O.J. - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",16.5,10.0
60,20.0,2.0,12.6,1.0,5.0,2406 - 101141 - 202390 - 202336 - 203489,"Butler,Caron - Ilyasova,Ersan - Neal,Gary - Sanders,Larry - Wolters,Nate",11.0,10.0
61,30.9,12.0,18.9,6.0,6.9,2406 - 202688 - 201564 - 203114 - 202327,"Butler,Caron - Knight,Brandon - Mayo,O.J. - Middleton,Khris - Udoh,Ekpe",5.7,17.0
62,10.0,2.0,6.2,1.0,1.0,203507 - 203545 - 2557 - 202327 - 203489,"Antetokounmpo,Giannis - Raduljica,Miroslav - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",14.0,11.0
63,33.0,9.0,18.3,3.9,3.0,203507 - 203089 - 202688 - 201564 - 203114,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Mayo,O.J. - Middleton,Khris",10.0,11.7
64,10.0,2.0,6.1,1.0,0.0,203507 - 203089 - 202688 - 202390 - 203545,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Neal,Gary - Raduljica,Miroslav",16.0,17.0
65,23.0,3.0,12.0,1.0,4.0,2406 - 203089 - 201564 - 203114 - 203489,"Butler,Caron - Henson,John - Mayo,O.J. - Middleton,Khris - Wolters,Nate",13.0,12.5
66,9.0,2.0,5.9,0.0,2.0,203507 - 101141 - 202688 - 201564 - 2557,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Mayo,O.J. - Ridnour,Luke",12.0,13.0
67,14.0,3.0,5.8,6.0,3.0,203089 - 101141 - 202688 - 203114 - 202336,"Henson,John - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Sanders,Larry",15.0,12.0
68,19.0,8.0,11.4,4.0,3.0,202399 - 203507 - 201196 - 202327 - 203489,"Adrien,Jeff - Antetokounmpo,Giannis - Sessions,Ramon - Udoh,Ekpe - Wolters,Nate",13.5,11.5
69,18.0,8.0,11.4,1.0,3.0,203507 - 203089 - 201564 - 203114 - 203489,"Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Middleton,Khris - Wolters,Nate",8.0,11.5
70,24.0,2.1,17.1,2.1,9.0,2406 - 203089 - 201564 - 203114 - 2557,"Butler,Caron - Henson,John - Mayo,O.J. - Middleton,Khris - Ridnour,Luke",16.0,8.3
71,8.0,5.0,5.5,2.0,0.0,101141 - 202688 - 202390 - 2585 - 203489,"Ilyasova,Ersan - Knight,Brandon - Neal,Gary - Pachulia,Zaza - Wolters,Nate",6.0,11.0
72,10.0,2.0,5.4,2.0,0.0,203507 - 2406 - 101141 - 202688 - 2585,"Antetokounmpo,Giannis - Butler,Caron - Ilyasova,Ersan - Knight,Brandon - Pachulia,Zaza",12.0,14.0
73,17.0,7.0,10.8,4.0,5.0,203507 - 203089 - 202390 - 203545 - 203489,"Antetokounmpo,Giannis - Henson,John - Neal,Gary - Raduljica,Miroslav - Wolters,Nate",11.0,9.5
74,9.0,4.0,5.4,2.0,0.0,2406 - 101141 - 203114 - 2557 - 202336,"Butler,Caron - Ilyasova,Ersan - Middleton,Khris - Ridnour,Luke - Sanders,Larry",8.0,11.0
75,7.0,6.0,5.4,1.0,2.0,201564 - 203114 - 202390 - 2585 - 202327,"Mayo,O.J. - Middleton,Khris - Neal,Gary - Pachulia,Zaza - Udoh,Ekpe",10.0,16.0
76,91.3,27.5,58.3,15.4,17.6,202399 - 203089 - 202688 - 203114 - 201196,"Adrien,Jeff - Henson,John - Knight,Brandon - Middleton,Khris - Sessions,Ramon",11.9,10.2
77,21.9,8.1,15.9,3.0,8.1,203507 - 203089 - 202688 - 203114 - 201196,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Middleton,Khris - Sessions,Ramon",9.7,12.0
78,10.0,4.0,5.3,1.0,0.0,203507 - 202688 - 202390 - 2585 - 203489,"Antetokounmpo,Giannis - Knight,Brandon - Neal,Gary - Pachulia,Zaza - Wolters,Nate",7.0,11.0
79,35.2,0.0,20.8,3.2,8.0,203507 - 2406 - 203089 - 201564 - 203489,"Antetokounmpo,Giannis - Butler,Caron - Henson,John - Mayo,O.J. - Wolters,Nate",9.3,8.0
80,7.0,6.0,5.2,2.0,2.0,2406 - 203089 - 202688 - 203114 - 203545,"Butler,Caron - Henson,John - Knight,Brandon - Middleton,Khris - Raduljica,Miroslav",4.0,8.0
81,9.0,0.0,5.2,0.0,1.0,2406 - 201564 - 203114 - 203545 - 2557,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Raduljica,Miroslav - Ridnour,Luke",14.0,8.0
82,10.0,1.0,5.2,1.0,1.0,203089 - 101141 - 201564 - 201196 - 202874,"Henson,John - Ilyasova,Ersan - Mayo,O.J. - Sessions,Ramon - Wright,Chris C.",11.0,13.0
83,9.0,0.0,5.0,0.0,1.0,202399 - 203089 - 203114 - 201196 - 203489,"Adrien,Jeff - Henson,John - Middleton,Khris - Sessions,Ramon - Wolters,Nate",9.0,12.0
84,11.0,5.0,5.0,4.0,0.0,202399 - 202688 - 203114 - 2585 - 203489,"Adrien,Jeff - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",9.0,15.0
85,9.0,4.0,5.0,2.0,2.0,203507 - 101141 - 203114 - 2585 - 203489,"Antetokounmpo,Giannis - Ilyasova,Ersan - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",13.0,15.0
86,82.8,12.6,44.1,14.4,11.7,202399 - 203507 - 202688 - 2585 - 201196,"Adrien,Jeff - Antetokounmpo,Giannis - Knight,Brandon - Pachulia,Zaza - Sessions,Ramon",9.1,12.3
87,9.0,0.0,4.9,1.0,2.0,203507 - 2406 - 101141 - 202688 - 202327,"Antetokounmpo,Giannis - Butler,Caron - Ilyasova,Ersan - Knight,Brandon - Udoh,Ekpe",16.0,8.0
88,10.0,1.0,4.9,0.0,1.0,203507 - 101141 - 203114 - 202336 - 203489,"Antetokounmpo,Giannis - Ilyasova,Ersan - Middleton,Khris - Sanders,Larry - Wolters,Nate",7.0,12.0
89,10.0,2.0,4.8,2.0,1.0,203507 - 202688 - 203114 - 2585 - 203545,"Antetokounmpo,Giannis - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Raduljica,Miroslav",12.0,8.0
90,124.6,30.8,65.8,29.4,23.8,203507 - 101141 - 202688 - 203114 - 202336,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Sanders,Larry",10.0,7.6
91,18.0,4.0,9.4,4.0,3.0,2406 - 101141 - 201564 - 202336 - 203489,"Butler,Caron - Ilyasova,Ersan - Mayo,O.J. - Sanders,Larry - Wolters,Nate",9.5,9.0
92,13.0,7.0,9.2,2.0,2.0,202399 - 203507 - 203089 - 202688 - 202874,"Adrien,Jeff - Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Wright,Chris C.",9.5,11.0
93,8.0,4.0,4.6,1.0,1.0,202399 - 203507 - 203089 - 201564 - 202874,"Adrien,Jeff - Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Wright,Chris C.",11.0,17.0
94,6.0,4.0,4.6,0.0,1.0,203507 - 203089 - 203114 - 201196 - 203489,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Sessions,Ramon - Wolters,Nate",10.0,5.0
95,11.0,8.0,9.2,1.0,5.0,203507 - 201564 - 203114 - 203545 - 203489,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Raduljica,Miroslav - Wolters,Nate",5.5,10.5
96,132.6,37.4,78.2,13.6,27.2,203089 - 101141 - 202688 - 201564 - 203114,"Henson,John - Ilyasova,Ersan - Knight,Brandon - Mayo,O.J. - Middleton,Khris",10.6,9.8
97,10.0,0.0,4.6,2.0,0.0,203089 - 202688 - 203114 - 201196 - 203474,"Henson,John - Knight,Brandon - Middleton,Khris - Sessions,Ramon - Stephens,DJ",9.0,7.0
98,8.0,2.0,4.6,1.0,1.0,201564 - 203114 - 2585 - 2557 - 202327,"Mayo,O.J. - Middleton,Khris - Pachulia,Zaza - Ridnour,Luke - Udoh,Ekpe",8.0,16.0
99,28.0,13.0,22.5,4.0,10.0,203507 - 203089 - 202688 - 201196 - 202327,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Sessions,Ramon - Udoh,Ekpe",9.8,6.4
100,6.0,2.0,4.5,1.0,2.0,203507 - 202390 - 203545 - 2557 - 203489,"Antetokounmpo,Giannis - Neal,Gary - Raduljica,Miroslav - Ridnour,Luke - Wolters,Nate",15.0,7.0
101,5.0,6.0,4.5,0.0,1.0,203089 - 203114 - 203545 - 201196 - 202874,"Henson,John - Middleton,Khris - Raduljica,Miroslav - Sessions,Ramon - Wright,Chris C.",11.0,10.0
102,19.0,4.0,8.8,5.0,2.0,202399 - 203507 - 202688 - 203545 - 201196,"Adrien,Jeff - Antetokounmpo,Giannis - Knight,Brandon - Raduljica,Miroslav - Sessions,Ramon",7.5,11.0
103,8.0,2.0,4.4,0.0,1.0,203507 - 202688 - 203114 - 202390 - 203545,"Antetokounmpo,Giannis - Knight,Brandon - Middleton,Khris - Neal,Gary - Raduljica,Miroslav",13.0,12.0
104,6.0,2.0,4.3,0.0,2.0,203507 - 2406 - 202688 - 203114 - 2585,"Antetokounmpo,Giannis - Butler,Caron - Knight,Brandon - Middleton,Khris - Pachulia,Zaza",15.0,7.0
105,18.0,0.0,8.6,2.0,1.0,2406 - 201564 - 203114 - 202390 - 203545,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Neal,Gary - Raduljica,Miroslav",12.0,9.5
106,8.0,0.0,4.3,0.0,1.0,2406 - 201564 - 2557 - 202327 - 203489,"Butler,Caron - Mayo,O.J. - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",11.0,7.0
107,14.0,2.0,8.6,3.0,6.0,203089 - 202688 - 203114 - 2557 - 202327,"Henson,John - Knight,Brandon - Middleton,Khris - Ridnour,Luke - Udoh,Ekpe",6.0,6.0
108,6.0,2.0,4.2,1.0,0.0,203507 - 203089 - 201564 - 203114 - 201196,"Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Middleton,Khris - Sessions,Ramon",8.0,6.0
109,25.2,14.0,16.8,2.0,1.2,203507 - 203089 - 203114 - 201196 - 202327,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Sessions,Ramon - Udoh,Ekpe",7.0,8.8
110,7.0,0.0,4.2,0.0,2.0,201564 - 203114 - 203545 - 2557 - 203489,"Mayo,O.J. - Middleton,Khris - Raduljica,Miroslav - Ridnour,Luke - Wolters,Nate",4.0,11.0
111,10.0,4.0,8.2,0.0,2.0,203507 - 2406 - 202688 - 2557 - 202336,"Antetokounmpo,Giannis - Butler,Caron - Knight,Brandon - Ridnour,Luke - Sanders,Larry",11.5,7.5
112,27.2,5.2,16.4,3.2,7.2,203507 - 203089 - 202688 - 203114 - 202874,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Middleton,Khris - Wright,Chris C.",10.0,7.0
113,10.0,2.0,4.1,1.0,0.0,2406 - 203089 - 101141 - 2557 - 203489,"Butler,Caron - Henson,John - Ilyasova,Ersan - Ridnour,Luke - Wolters,Nate",6.0,10.0
114,16.0,6.0,8.0,4.0,1.0,203507 - 2406 - 203089 - 202688 - 202390,"Antetokounmpo,Giannis - Butler,Caron - Henson,John - Knight,Brandon - Neal,Gary",9.0,8.0
115,15.0,5.0,8.0,0.0,2.0,203507 - 203089 - 203114 - 202327 - 203489,"Antetokounmpo,Giannis - Henson,John - Middleton,Khris - Udoh,Ekpe - Wolters,Nate",7.5,12.0
116,16.0,4.0,8.0,4.0,1.0,203507 - 202688 - 201564 - 203114 - 202327,"Antetokounmpo,Giannis - Knight,Brandon - Mayo,O.J. - Middleton,Khris - Udoh,Ekpe",11.5,11.0
117,37.8,13.2,24.0,4.8,9.0,203089 - 202688 - 203114 - 2585 - 201196,"Henson,John - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Sessions,Ramon",10.9,6.7
118,14.0,3.0,8.0,2.0,1.0,101141 - 202688 - 203114 - 202390 - 203545,"Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Neal,Gary - Raduljica,Miroslav",9.0,7.5
119,13.0,11.0,8.0,0.0,1.0,202688 - 203114 - 202390 - 202327 - 203489,"Knight,Brandon - Middleton,Khris - Neal,Gary - Udoh,Ekpe - Wolters,Nate",10.5,9.0
120,12.0,9.0,7.8,1.0,1.0,203507 - 203089 - 203545 - 201196 - 202874,"Antetokounmpo,Giannis - Henson,John - Raduljica,Miroslav - Sessions,Ramon - Wright,Chris C.",11.0,9.5
121,12.0,7.0,7.8,2.0,3.0,203507 - 201564 - 203114 - 203545 - 2557,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Raduljica,Miroslav - Ridnour,Luke",11.0,8.5
122,27.0,3.0,11.7,9.9,3.9,203089 - 201564 - 203114 - 2585 - 203489,"Henson,John - Mayo,O.J. - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",7.3,8.3
123,7.0,0.0,3.9,2.0,2.0,101141 - 203114 - 2557 - 202327 - 203489,"Ilyasova,Ersan - Middleton,Khris - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",12.0,0.0
124,6.0,3.0,3.8,0.0,1.0,203507 - 203089 - 101141 - 202390 - 203489,"Antetokounmpo,Giannis - Henson,John - Ilyasova,Ersan - Neal,Gary - Wolters,Nate",9.0,9.0
125,14.1,9.9,11.4,0.9,6.9,203507 - 203089 - 202688 - 202390 - 202327,"Antetokounmpo,Giannis - Henson,John - Knight,Brandon - Neal,Gary - Udoh,Ekpe",8.7,7.7
126,7.0,2.0,3.8,1.0,1.0,203507 - 101141 - 202688 - 202390 - 2585,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Neal,Gary - Pachulia,Zaza",7.0,8.0
127,20.1,3.0,11.4,2.1,0.9,203507 - 101141 - 201564 - 202327 - 203489,"Antetokounmpo,Giannis - Ilyasova,Ersan - Mayo,O.J. - Udoh,Ekpe - Wolters,Nate",7.0,8.0
128,5.0,0.0,3.8,0.0,1.0,203507 - 203114 - 202390 - 203545 - 2557,"Antetokounmpo,Giannis - Middleton,Khris - Neal,Gary - Raduljica,Miroslav - Ridnour,Luke",4.0,6.0
129,7.0,4.0,3.8,1.0,0.0,2406 - 203089 - 202688 - 203114 - 203489,"Butler,Caron - Henson,John - Knight,Brandon - Middleton,Khris - Wolters,Nate",8.0,10.0
130,12.0,4.0,7.6,2.0,3.0,2406 - 201564 - 203114 - 202336 - 203489,"Butler,Caron - Mayo,O.J. - Middleton,Khris - Sanders,Larry - Wolters,Nate",4.5,6.0
131,16.0,2.0,7.6,3.0,1.0,203089 - 202688 - 203114 - 202336 - 203489,"Henson,John - Knight,Brandon - Middleton,Khris - Sanders,Larry - Wolters,Nate",10.0,8.0
132,9.0,6.0,7.6,0.0,5.0,203089 - 201564 - 203114 - 202390 - 2585,"Henson,John - Mayo,O.J. - Middleton,Khris - Neal,Gary - Pachulia,Zaza",10.5,6.0
133,65.7,33.3,34.2,14.4,11.7,101141 - 202688 - 203114 - 2585 - 201196,"Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Sessions,Ramon",10.9,9.8
