player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
1717,14036,Dirk Nowitzki,N,Dirk,84,Nowitzki,Forward,Active,18,1610612742,Mavericks,245,91,9,709,320,144,68,1,357,130,77,2.7,0.6,0.2,5.7,4.7,4.2,80.0,32.9,0.5,2.1,4.7,6.2,0.9,1.5,2.33,12.84,5.4,5.11,2.73,0.96,5.95,3.11,1.88,0.88,0.181,0.421,0.398,0.212,0.087,0.008,5219.572
1718,14285,Paul Pierce,N,Paul,79,Pierce,Forward,Active,18,1610612746,Clippers,235,185,22,158,278,69,113,12,67,100,29,2.4,0.4,0.5,4.3,4.1,3.4,75.0,28.0,0.3,2.5,3.2,4.6,1.1,2.0,1.82,9.58,3.15,4.61,2.64,0.79,4.39,1.78,1.82,1.05,0.19,0.329,0.481,0.275,0.079,0.006,3655.532
1733,13428,Al Harrington,N,Al,81,Harrington,Forward,Active,15,1610612764,Wizards,245,68,25,21,75,18,39,11,6,23,3,0.8,0.0,0.3,1.9,1.0,0.8,34.0,15.0,0.4,2.1,1.2,2.4,0.4,1.0,1.07,4.88,1.72,2.09,1.06,0.43,2.28,1.16,0.69,0.34,0.218,0.353,0.429,0.218,0.064,0.015,976.568
1737,14323,Nazr Mohammed,N,Nazr,82,Mohammed,Center,Active,18,1610612760,Thunder,250,58,0,40,0,28,32,0,12,0,10,0.3,0.4,0.1,1.4,0.4,0.2,80.0,7.0,0.8,1.0,0.4,2.2,0.2,0.5,0.91,3.01,1.24,0.86,0.21,0.34,1.29,0.6,0.35,0.06,0.304,0.41,0.286,0.069,0.104,0.063,1051.92
1740,13621,Rashard Lewis,N,Rashard,82,Lewis,Forward,Active,15,1610612748,Heat,235,38,87,31,47,33,27,35,14,11,11,1.0,0.1,0.1,1.4,0.6,0.4,60.0,16.2,0.4,1.5,0.6,1.8,0.9,0.6,1.46,7.24,2.12,3.66,2.22,0.6,3.34,1.4,1.34,0.88,0.202,0.293,0.505,0.307,0.047,0.013,1788.576
1882,13771,Elton Brand,N,Elton,81,Brand,Forward,Active,17,1610612755,76ers,254,92,1,135,1,103,65,0,67,0,47,1.0,1.2,0.2,3.6,1.3,0.8,73.0,19.4,1.3,2.6,1.2,4.9,0.5,0.8,2.04,7.99,3.88,2.07,0.72,0.81,3.69,1.92,0.96,0.31,0.256,0.485,0.259,0.09,0.093,0.034,2733.72
1885,13531,Lamar Odom,N,Lamar,82,Odom,Forward,Active,14,1610612752,Knicks,230,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1889,14858,Andre Miller,N,Andre,75,Miller,Guard,Active,17,1610612759,Spurs,200,98,3,44,18,68,55,3,16,8,24,3.4,0.2,0.4,1.8,1.3,1.0,58.0,16.9,0.5,1.3,1.4,2.2,0.6,1.1,0.91,4.89,0.93,3.05,2.02,0.43,1.96,0.58,0.95,0.67,0.186,0.19,0.624,0.412,0.053,0.015,1652.344
1890,14079,Shawn Marion,N,Shawn,79,Marion,Guard-Forward,Active,15,1610612739,Cavaliers,228,258,84,91,77,197,167,30,31,27,85,1.6,0.5,0.4,4.8,0.9,0.7,76.0,31.7,1.7,1.6,0.7,6.5,1.2,1.3,2.08,10.59,3.22,5.29,3.37,0.72,4.59,1.96,1.91,1.21,0.197,0.304,0.499,0.318,0.077,0.028,4756.048
1891,14313,Jason Terry,N,Jason,74,Terry,Guard,Active,17,1610612749,Bucks,185,9,35,30,68,10,4,15,10,24,2,1.6,0.0,0.2,0.9,0.4,0.3,35.0,16.3,0.1,1.4,0.7,1.1,0.4,0.8,0.78,4.25,0.78,2.69,1.59,0.38,2.0,0.53,1.09,0.66,0.184,0.184,0.632,0.375,0.029,0.004,818.388
1897,13524,Metta World Peace,N,Metta,79,World Peace,Forward,Active,16,1610612747,Lakers,260,37,21,28,33,22,22,6,9,11,8,0.6,0.3,0.2,1.4,0.6,0.3,29.0,13.4,0.6,1.5,0.8,2.0,0.8,0.7,0.84,5.38,2.12,2.42,1.69,0.31,2.23,1.04,0.88,0.65,0.157,0.393,0.45,0.314,0.053,0.023,680.72
1905,13061,Andrei Kirilenko,N,Andrei,0,Kirilenko,,Inactive,12,0,,0,109,2,26,3,20,68,0,4,1,9,1.6,0.4,0.4,2.0,2.6,1.4,45.0,19.1,1.2,1.4,2.2,3.2,0.9,1.2,0.8,4.57,1.77,2.0,1.27,0.41,2.14,1.09,0.64,0.5,0.174,0.388,0.438,0.279,0.055,0.033,1369.776
1938,14362,Manu Ginobili,N,Manu,78,Ginobili,Guard,Active,14,1610612759,Spurs,205,207,45,99,213,63,145,19,32,71,27,4.3,0.3,0.5,2.5,2.8,2.4,68.0,22.8,0.4,1.9,2.9,3.0,1.0,2.0,1.35,5.84,1.07,3.42,2.0,0.7,2.6,0.66,1.24,0.73,0.23,0.184,0.586,0.343,0.054,0.009,2915.568
2030,14207,Kenyon Martin,N,Kenyon,0,Martin,,Inactive,14,0,,0,71,0,30,1,21,47,0,11,0,5,1.6,0.8,0.2,3.1,0.6,0.3,32.0,19.8,1.1,2.7,0.7,4.2,0.8,0.8,1.64,7.55,2.68,3.23,1.61,0.35,2.71,1.52,0.84,0.48,0.218,0.355,0.427,0.214,0.082,0.03,1149.984
2034,13426,Mike Miller,N,Mike,80,Miller,Guard-Forward,Active,16,1610612743,Nuggets,218,48,52,130,181,32,33,26,61,81,12,1.6,0.1,0.1,2.2,0.7,0.6,82.0,20.8,0.4,1.2,0.6,2.5,0.3,0.9,0.78,5.55,1.12,3.65,2.2,0.32,2.61,0.67,1.62,0.94,0.141,0.202,0.657,0.396,0.053,0.009,3090.856
2037,13396,Jamal Crawford,N,Jamal,77,Crawford,Guard,Active,16,1610612746,Clippers,195,135,97,304,346,126,79,37,136,123,45,3.2,0.2,0.2,1.8,4.7,4.0,69.0,30.4,0.5,1.7,2.9,2.3,0.9,2.0,1.4,7.33,1.35,4.58,3.16,0.58,3.07,1.01,1.48,0.91,0.191,0.184,0.625,0.431,0.029,0.008,4121.84
2045,13763,Hedo Turkoglu,N,Hedo,82,Turkoglu,Forward,Active,14,1610612746,Clippers,220,22,10,29,40,8,9,4,9,18,2,0.9,0.3,0.2,2.1,0.5,0.2,38.0,10.3,0.3,1.3,0.4,2.3,0.5,0.4,1.0,4.33,1.44,1.89,1.31,0.41,1.86,0.81,0.64,0.39,0.231,0.333,0.436,0.301,0.1,0.014,696.14
2199,12470,Tyson Chandler,N,Tyson,85,Chandler,Center,Active,15,1610612756,Suns,240,258,0,41,1,22,170,0,16,0,5,1.1,1.1,0.3,6.7,2.8,1.8,55.0,30.2,2.9,2.6,2.8,9.6,0.7,1.3,2.79,12.96,5.54,4.63,1.91,1.11,6.09,3.28,1.7,0.54,0.216,0.427,0.357,0.147,0.116,0.05,3118.98
2200,13288,Pau Gasol,N,Pau,84,Gasol,Center-Forward,Active,15,1610612759,Spurs,250,273,1,319,13,279,175,1,123,3,123,3.4,1.5,1.0,7.6,4.2,3.1,60.0,31.4,2.1,2.1,3.9,9.7,0.5,2.4,3.18,14.47,7.52,3.77,1.02,1.25,6.88,4.43,1.2,0.3,0.22,0.52,0.26,0.07,0.115,0.031,3638.98
2202,13090,Jason Richardson,N,Jason,78,Richardson,Guard,Active,13,1610612755,76ers,225,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2203,13954,Shane Battier,N,Shane,80,Battier,Forward,Active,12,1610612748,Heat,220,34,99,9,111,22,21,39,1,34,10,0.9,0.5,0.1,1.4,0.3,0.2,73.0,20.1,0.5,1.7,0.9,1.9,0.7,0.3,2.26,10.14,3.42,4.46,2.46,1.08,4.81,1.94,1.79,0.97,0.223,0.337,0.44,0.242,0.036,0.012,2817.196
2207,12930,Joe Johnson,N,Joe,79,Johnson,Forward-Guard,Active,15,1610612762,Jazz,240,98,170,245,234,271,65,76,101,86,134,2.7,0.1,0.2,2.8,2.5,2.0,79.0,32.6,0.6,1.6,2.0,3.4,0.6,1.5,0.99,8.15,1.67,5.49,3.51,0.38,3.62,1.06,2.18,1.33,0.123,0.204,0.673,0.431,0.044,0.01,4529.432
2210,13303,Richard Jefferson,N,Richard,79,Jefferson,Forward,Active,15,1610612739,Cavaliers,233,151,110,133,191,69,102,53,46,70,23,1.6,0.2,0.4,2.5,2.0,1.5,82.0,27.0,0.2,2.0,1.8,2.7,0.7,1.1,1.54,8.41,1.8,5.07,3.21,0.8,4.18,1.28,2.1,1.32,0.183,0.214,0.603,0.381,0.047,0.004,4243.668
2215,13870,Jason Collins,N,Jason,84,Collins,Center,Active,12,1610612751,Nets,255,10,2,8,1,3,6,0,3,0,2,0.2,0.0,0.1,0.5,0.2,0.1,22.0,7.8,0.3,1.4,0.3,0.9,0.4,0.3,0.83,4.22,2.06,1.33,0.61,0.61,2.67,1.39,0.67,0.33,0.197,0.487,0.316,0.145,0.035,0.02,236.12
2216,12913,Zach Randolph,N,Zach,81,Randolph,Forward,Active,15,1610612763,Grizzlies,260,489,2,359,18,330,263,1,148,1,147,2.5,0.3,1.5,6.7,4.3,3.2,79.0,34.2,3.4,2.7,4.2,10.1,0.7,2.3,2.65,12.69,4.71,5.33,2.18,1.18,6.21,2.72,2.31,0.88,0.209,0.371,0.42,0.172,0.102,0.051,4944.104
2217,13510,Brendan Haywood,N,Brendan,84,Haywood,Center,Active,12,1610612739,Cavaliers,263,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2222,12541,Gerald Wallace,N,Gerald,79,Wallace,Forward,Active,14,1610612738,Celtics,220,136,19,14,45,16,85,11,6,8,6,2.5,0.2,0.3,3.0,1.7,0.8,58.0,24.4,0.6,1.4,2.2,3.7,1.3,1.7,1.07,6.42,1.89,3.46,2.09,0.42,3.07,1.19,1.46,0.88,0.167,0.295,0.538,0.325,0.062,0.013,2555.5
2223,13345,Samuel Dalembert,N,Samuel,0,Dalembert,,Inactive,13,0,,0,274,0,43,1,59,172,0,19,0,23,0.5,1.2,0.5,4.3,1.7,1.3,80.0,20.2,2.5,2.6,1.3,6.8,0.5,1.1,1.8,7.73,4.09,1.84,0.45,0.71,3.69,2.24,0.74,0.18,0.233,0.529,0.238,0.058,0.107,0.063,3173.864
2224,14147,Jamaal Tinsley,Y,Jamaal,0,Tinsley,,Inactive,10,0,,0,1,2,1,13,3,1,0,1,1,1,2.9,0.0,0.3,1.1,0.0,0.0,8.0,13.8,0.3,1.3,0.3,1.4,0.3,1.1,0.5,3.88,1.25,2.13,1.25,0.25,2.13,0.88,1.0,0.63,0.129,0.323,0.548,0.323,0.043,0.009,191.444
2225,12608,Tony Parker,N,Tony,74,Parker,Guard,Active,15,1610612759,Spurs,185,349,40,330,27,168,209,16,148,9,74,5.7,0.1,0.8,2.0,3.6,2.9,68.0,29.4,0.3,1.3,2.9,2.3,0.5,2.2,1.92,9.73,1.27,6.54,3.09,0.86,4.45,0.87,2.72,1.16,0.198,0.13,0.672,0.317,0.034,0.004,3761.244
2229,15128,Mike James,Y,Mike,74,James,Guard,Active,11,1610612741,Bulls,188,3,0,7,5,6,0,0,1,1,3,1.5,0.0,0.2,0.6,0.2,0.0,11.0,7.0,0.0,1.0,0.5,0.6,0.2,0.5,0.5,2.7,0.4,1.8,1.0,-5.55111512313e-17,0.7,0.2,0.5,0.3,0.185,0.148,0.667,0.37,0.052,0.0,133.528
2248,13678,Earl Watson,N,Earl,73,Watson,Guard,Active,12,1610612757,Trail Blazers,199,0,4,3,3,1,0,1,1,1,0,1.2,0.0,0.0,0.4,0.2,0.2,24.0,6.7,0.2,1.4,0.5,0.6,0.2,0.7,0.62,4.25,0.69,2.94,1.69,0.5,1.81,0.25,1.06,0.56,0.147,0.162,0.691,0.397,0.031,0.016,315.56
2365,14018,Chris Andersen,N,Chris,82,Andersen,Forward-Center,Active,14,1610612739,Cavaliers,245,228,3,23,9,12,165,1,7,2,2,0.3,1.3,0.2,3.5,2.3,1.7,72.0,19.4,1.8,2.3,2.2,5.3,0.4,0.7,1.7,7.69,3.96,2.03,0.94,0.58,3.39,2.13,0.68,0.25,0.222,0.514,0.264,0.123,0.094,0.048,2620.14
2399,13217,Mike Dunleavy,N,Mike,81,Dunleavy,Guard-Forward,Active,14,1610612739,Cavaliers,230,155,61,252,263,43,89,22,105,101,16,2.3,0.6,0.3,3.6,2.0,1.7,82.0,31.5,0.6,2.0,2.0,4.2,0.8,1.3,1.51,8.27,1.74,5.02,2.83,0.52,3.29,1.11,1.66,0.94,0.181,0.211,0.608,0.342,0.059,0.009,5032.992
2400,12843,Drew Gooden,N,Drew,82,Gooden,Forward,Active,14,1610612764,Wizards,250,43,4,67,13,16,31,2,35,5,3,0.7,0.3,0.4,3.5,1.2,1.1,22.0,18.0,1.7,2.4,1.5,5.2,0.5,0.8,1.58,7.24,3.33,2.33,1.19,0.86,3.48,2.05,0.57,0.33,0.217,0.461,0.322,0.164,0.101,0.049,718.496
2403,12489,Nene,N,Nene,83,Hilario,Center-Forward,Active,14,1610612745,Rockets,250,248,2,233,3,108,160,0,101,1,37,2.9,0.9,0.6,4.3,5.0,2.9,53.0,29.4,1.2,3.1,4.8,5.5,1.2,2.2,2.89,11.72,4.21,4.62,1.91,1.26,5.45,2.53,1.66,0.62,0.246,0.359,0.395,0.163,0.073,0.021,3092.392
2405,12425,Amar'e Stoudemire,N,Amar'e,82,Stoudemire,Forward-Center,Active,14,1610612748,Heat,245,286,0,188,0,84,188,0,82,0,41,0.5,0.6,0.5,3.2,3.1,2.3,65.0,22.6,1.7,2.4,2.8,4.9,0.4,1.4,1.81,8.47,3.89,2.77,1.22,0.76,3.92,2.11,1.05,0.47,0.214,0.459,0.327,0.144,0.075,0.04,2695.984
2406,13403,Caron Butler,N,Caron,79,Butler,Forward,Active,14,1610612758,Kings,228,40,79,227,169,24,19,31,89,67,7,1.5,0.3,0.2,3.7,1.3,1.1,56.0,25.3,0.4,2.1,1.1,4.1,0.8,1.1,1.28,7.82,2.49,4.05,2.84,0.46,3.49,1.45,1.58,1.18,0.162,0.319,0.519,0.363,0.073,0.007,2556.912
2408,14084,Melvin Ely,Y,Melvin,82,Ely,Center-Forward,Active,8,1610612740,Pelicans,260,2,0,2,0,2,2,0,0,0,1,0.0,0.5,0.0,0.5,0.0,0.0,2.0,13.6,0.0,2.5,0.0,0.5,0.0,0.0,1.0,3.5,2.0,0.5,,0.0,1.5,1.5,0.0,,0.286,0.571,0.143,,0.022,0.0,30.76
2419,13417,Tayshaun Prince,N,Tayshaun,81,Prince,Forward,Active,14,1610612750,Timberwolves,212,99,53,236,16,88,71,18,77,2,32,1.6,0.3,0.2,2.7,0.8,0.4,76.0,25.6,0.4,0.8,0.9,3.1,0.5,0.5,1.32,7.36,2.22,3.82,1.95,0.57,3.37,1.39,1.41,0.71,0.179,0.302,0.519,0.265,0.055,0.009,3533.956
2422,13495,John Salmons,N,John,0,Salmons,,Inactive,12,0,,0,56,69,146,94,48,23,31,52,32,12,1.9,0.2,0.3,1.8,0.7,0.5,78.0,22.1,0.3,1.6,0.7,2.1,0.6,0.7,1.2,6.31,1.69,3.42,1.94,0.56,2.73,1.04,1.13,0.71,0.192,0.267,0.541,0.307,0.042,0.006,3238.952
2427,13222,Roger Mason Jr.,N,Roger,0,Mason Jr.,,Inactive,10,0,,0,4,21,15,27,0,0,8,8,9,0,0.8,0.0,0.0,0.8,0.3,0.3,25.0,10.4,0.0,1.0,0.1,0.9,0.2,0.4,0.67,3.33,0.72,1.94,1.06,0.22,1.17,0.56,0.39,0.22,0.2,0.217,0.583,0.317,0.042,0.002,456.652
2430,12786,Carlos Boozer,N,Carlos,81,Boozer,Forward,Active,12,1610612747,Lakers,258,367,0,451,2,160,217,0,177,0,53,1.6,0.3,1.2,6.5,2.5,1.9,76.0,28.2,1.8,2.8,2.0,8.3,0.7,2.0,1.84,8.34,2.95,3.55,1.16,0.96,3.99,1.75,1.28,0.32,0.221,0.353,0.426,0.139,0.117,0.032,4236.98
2440,13407,Matt Barnes,N,Matt,79,Barnes,Forward,Active,13,1610612758,Kings,226,156,111,46,171,42,104,37,15,59,15,2.0,0.4,0.4,3.7,1.4,1.0,63.0,27.5,1.0,2.9,1.0,4.6,0.9,1.3,1.95,10.52,2.57,6.0,4.17,0.77,4.37,1.73,1.87,1.3,0.186,0.244,0.57,0.397,0.064,0.017,3457.528
2446,13698,Rasual Butler,Y,Rasual,0,Butler,,Inactive,13,0,,0,16,35,29,27,3,11,11,13,15,1,0.3,0.2,0.0,0.7,0.3,0.2,50.0,7.6,0.1,0.6,0.2,0.8,0.1,0.2,0.67,3.52,1.12,1.73,1.0,0.27,1.58,0.61,0.7,0.3,0.19,0.319,0.491,0.284,0.048,0.008,726.1
2449,13355,Luis Scola,N,Luis,81,Scola,Forward,Active,9,1610612751,Nets,241,157,4,325,3,71,89,1,144,0,29,1.0,0.2,0.4,3.7,1.7,1.2,82.0,17.1,1.0,2.0,1.5,4.8,0.3,1.3,1.5,6.06,2.02,2.54,1.1,0.5,2.57,1.19,0.88,0.36,0.246,0.334,0.42,0.181,0.11,0.031,2763.36
2457,13546,Jannero Pargo,Y,Jannero,0,Pargo,,Inactive,10,0,,0,5,10,51,50,2,0,6,26,18,2,1.8,0.0,0.1,0.7,0.4,0.3,29.0,8.3,0.0,0.6,0.4,0.7,0.5,0.9,0.76,3.95,0.55,2.64,1.86,0.37,1.82,0.27,1.18,0.82,0.195,0.138,0.667,0.471,0.039,0.002,478.496
2501,13337,Reggie Evans,N,Reggie,80,Evans,Center-Forward,Active,12,1610612758,Kings,245,107,0,7,0,36,60,0,0,0,11,0.4,0.1,0.5,4.1,2.4,1.3,54.0,16.6,2.1,2.2,1.8,6.2,0.7,1.1,1.55,6.3,2.64,2.11,0.74,0.62,3.28,1.74,0.92,0.38,0.246,0.419,0.335,0.117,0.122,0.064,1557.588
2544,11650,LeBron James,N,LeBron,80,James,Forward,Active,13,1610612739,Cavaliers,250,581,45,327,261,139,455,25,126,91,70,6.3,0.3,0.5,5.9,7.6,5.7,77.0,37.7,1.1,1.6,6.0,6.9,1.6,3.5,1.39,9.52,2.64,5.49,3.77,0.6,4.14,1.62,1.92,1.27,0.146,0.277,0.577,0.396,0.08,0.014,5586.284
2546,11865,Carmelo Anthony,N,Carmelo,80,Anthony,Forward,Active,13,1610612752,Knicks,240,349,34,766,381,113,190,13,339,154,47,3.1,0.7,0.9,6.2,7.0,6.0,77.0,38.7,1.9,2.9,5.7,8.1,1.2,2.6,1.53,10.7,3.16,6.01,4.05,0.52,4.64,1.9,2.22,1.45,0.143,0.295,0.562,0.379,0.083,0.025,5631.012
2547,11931,Chris Bosh,N,Chris,83,Bosh,Forward,Active,13,1610612748,Heat,235,292,54,351,164,92,206,19,170,55,42,1.1,1.0,0.4,5.4,3.4,2.8,79.0,32.0,1.2,2.4,2.6,6.6,1.0,1.6,3.29,13.0,5.14,4.57,2.08,1.35,5.99,2.99,1.65,0.67,0.253,0.395,0.352,0.16,0.086,0.02,4845.264
2548,12728,Dwyane Wade,N,Dwyane,76,Wade,Guard,Active,13,1610612741,Bulls,220,294,9,289,23,146,202,5,124,4,80,4.7,0.5,0.4,3.4,4.8,3.5,54.0,32.9,1.1,2.0,3.8,4.5,1.5,3.0,1.19,8.02,1.94,4.89,3.54,0.46,3.37,1.22,1.69,1.19,0.148,0.242,0.61,0.441,0.052,0.017,3440.276
2549,12627,Chris Kaman,N,Chris,84,Kaman,Center,Active,13,1610612757,Trail Blazers,265,117,0,135,3,91,79,0,64,0,33,1.5,1.0,0.5,4.5,1.7,1.3,39.0,18.9,1.4,2.4,1.4,5.9,0.3,1.9,2.19,9.62,4.74,2.69,1.08,0.7,3.95,2.33,0.92,0.26,0.227,0.493,0.28,0.112,0.112,0.035,1312.084
2550,13108,Kirk Hinrich,N,Kirk,76,Hinrich,Guard,Active,13,1610612737,Hawks,190,98,61,220,181,59,48,26,89,59,21,3.9,0.4,0.4,2.2,1.7,1.3,73.0,29.0,0.4,2.8,2.1,2.6,1.1,1.6,1.96,9.4,2.18,5.26,2.63,0.72,4.04,1.29,2.03,1.0,0.208,0.232,0.56,0.28,0.039,0.008,4083.72
2555,13176,Nick Collison,N,Nick,82,Collison,Forward,Active,12,1610612760,Thunder,255,146,15,56,1,22,93,3,23,1,14,1.3,0.3,0.3,2.2,1.1,0.8,81.0,16.7,1.4,2.3,1.4,3.6,0.4,0.9,1.71,6.09,2.5,1.88,0.89,0.56,2.7,1.31,0.83,0.38,0.281,0.411,0.308,0.146,0.065,0.043,2693.572
2557,13066,Luke Ridnour,N,Luke,74,Ridnour,Guard,Active,11,1610612753,Magic,175,34,40,154,68,31,16,17,61,20,12,2.9,0.1,0.1,1.2,0.4,0.3,61.0,18.7,0.4,1.5,0.9,1.6,0.5,1.1,0.96,5.33,1.0,3.37,2.15,0.5,2.72,0.77,1.45,0.95,0.181,0.188,0.631,0.403,0.033,0.01,1906.256
2561,13234,David West,N,David,81,West,Forward,Active,13,1610612744,Warriors,250,239,6,422,9,263,142,0,198,4,114,2.8,0.9,0.6,5.3,3.1,2.5,80.0,30.9,1.5,2.3,2.9,6.8,0.8,1.7,2.14,9.24,3.04,4.06,2.01,0.79,3.8,1.61,1.4,0.65,0.231,0.329,0.44,0.218,0.086,0.025,4894.94
2563,13114,Dahntay Jones,Y,Dahntay,78,Jones,Guard-Forward,Active,12,1610612739,Cavaliers,225,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
